ブランド,コスパ,キャンペーン,メニューの豊富さ,SNS映え,作業しやすい,テイクアウト,混雑具合,若者,提供の速さ,駅近,フード,1人で入れるか,カスタマイズ,子連れ,高級感,デザイン性,長く滞在できるか,店内のオシャレ度,落ち着き,賑やか,サステナブル,コラボ,モバイルオーダー
タリーズ,3,4,6,8,7,9,5,6,8,6,6,7,9,5,2,7,5,6,3,6,6,4,8
コメダ,2,3,2,3,4,5,10,3,5,5,8,10,3,14,1,3,4,3,14,4,4,5,3
星乃珈琲店,2,2,3,4,3,3,14,2,3,6,10,12,3,13,15,2,14,11,4,3,3,3,4
ドトール,5,2,4,5,5,5,7,7,6,8,4,8,5,3,1,4,5,4,10,7,9,7,5
DEAN & DELUCA,1,5,5,8,2,3,4,6,3,5,9,3,8,3,15,14,3,13,2,2,5,8,10
ブルーボトル,3,4,6,10,7,4,5,8,6,7,5,6,10,5,12,13,9,14,3,10,7,9,8
上島珈琲店,4,3,5,4,4,6,10,5,5,10,8,8,7,11,9,6,7,5,12,5,5,4,6
サンマルク,4,6,6,7,6,8,6,5,7,7,10,6,6,12,8,5,10,10,6,8,10,3,8
スターバックス,2,8,10,15,10,8,12,13,8,15,6,12,10,6,2,10,12,15,4,15,10,14,15
プロント,5,3,4,6,6,7,6,4,6,8,5,6,5,8,7,7,7,6,5,5,5,6,6
